id_sitio,nombre,calle,num_exterior,num_interior,colonia,cp,delegacion,estado,telefono
52,,AV CUAUTITLAN,M-29,,BOSQUES DE MORELOS,54760,CUAUTITLAN IZCALLI,,58774639
53,,GUAYABOS,M-18,,BOSQUES DE MORELOS,54760,CUAUTITLAN IZCALLI,,58774639
54,,JILOTZONGO,40,,CUMBRIA,54740,CUAUTITLAN IZCALLI,,58730451
55,,TIANGUISTENGO,15,,CUMBRIA,54740,CUAUTITLAN IZCALLI,,58730451
56,,TIANGUISTENGO,15,,CUMBRIA,54740,CUAUTITLAN IZCALLI,,58730451
57,,NETZAHUALCOYOLT,58,,CUMBRIA,54740,CUAUTITLAN IZCALLI,,58712247
58,,RIO HONDDO,3,,COLINAS DEL LAGO,54744,CUAUTITLAN IZCALLI,,58817156
59,,NEPTUNO,27,,ENSUEÑOS,54740,CUAUTITLAN IZCALLI,,58716965
60,,LA QUEBRADA,89,,LA QUEBRADA,54760,CUAUTITLAN IZCALLI,,53100040
61,,2 RETORNO DE BOSENCHEVE,13,,JARDINES DEL ALBA,54750,CUAUTITLAN IZCALLI,,58730101
62,,2 RETORNO DE BOSENCHEVE,13,,JARDINES DEL ALBA,54750,CUAUTITLAN IZCALLI,,58730101
63,,2 RETORNO DE BOSENCHEVE,13,,JARDINES DEL ALBA,54750,CUAUTITLAN IZCALLI,,58730101
64,,AV CIRCUNVALACION Y 16 DE SEPTIEMBRE,S/N,,LA AURORA,54725,CUAUTITLAN IZCALLI,,58891812
65,,AUTOPISTA MEXICO QRO,43,,LA LUZ,54800,CUAUTITLAN IZCALLI,,58726100
66,,AUTOPISTA MEXICO QRO,43,,LA LUZ,54800,CUAUTITLAN IZCALLI,,58726100
67,,AUTOPISTA MEXICO QRO,43,,LA LUZ,54800,CUAUTITLAN IZACALLI,,58726100
68,,AUTOPISTA MEXICO QRO,43,,LA LUZ,54800,CUAUTITLAN IZCALLI,,58726100
69,,AUTOPISTA MEXICO QRO,43,,LA LUZ,54800,CUAUTITLAN IZCALLI,,58726100
70,,QUINTO SOL,48,,PARQUES,54720,CUAUTITLAN IZCALLI,,58687374
71,,MUSAS,68,,ENSUEÑOS,54740,CUAUTITLAN IZCALLI,,58734429
72,,TLATAYA,3A,,CENTRO URBANO,54700,CUAUTITLAN IZCALLI,,58734429
73,,TLATAYA,3A,,CENTRO URBANO,54700,CUAUTITLAN IZCALLI,,58734429
74,,TLATAYA,3A,,CENTRO URBANO,54700,CUAUTITLAN IZCALLI,,58734429
75,,TEMOAYA,36,,CENTRO URBANO,54700,CUAUTITLAN IZCALLI,,58716586
76,,LA QUEBRADA,89,,LA QUEBRADA,54769,CUAUTITLAN IZCALLI,,53100040
77,,LAZARO CARDENAS Y JIMENEZ CANTU,S/N,,TEPALCAPA,54768,CUAUTITLAN IZCALLI,,58935537
78,,AUTOPISTA MEXICO QRO,43,,LA LUZ,54800,CUAUTITLAN IZCALLI,,58726100
79,,AV CIRCUNVALACION Y 16 DE SEPTIEMBRE,S/N,,LA AURORA,54725,CUAUTITLAN IZCALLI,,58891812
80,,TLATAYA,3A,,CENTRO URBANO,54700,CUAUTITLAN IZCALLI,,58733825
81,,NARANJOS ORIENTE,24,,ARCOS DEL ALBA,54750,CUAUTITLAN IZCALLI,,58717882
82,,2 RETORNO DE BOSENCHEVE,13,,JARDINES DEL ALBA,54750,CUAUTITLAN IZCALLI,,58730101
83,,NEPTUNO,27,,ENSUEÑOS,54740,CUAUTITLAN IZCALLI,,58716965
84,,TEMOAYA,17 B,,CENTRO URBANO,54700,CUAUTITLAN IZCALLI,,58735139
85,,AUTOPISTA MEXICO QRO,43,,LA LUZ,54800,CUAUTITLAN IZCALLI,,58726100
86,,GUAYABOS,L8,,BOSQUES DE MORELOS,54760,CUAUTITLAN IZCALLI,,58771499
87,,REYNOLDS ALUMINOO,4,,VISTERMOSA,54080,TLALNEPANTLA,,53987823
88,,2 RETORNO DE BOSENCHEVE,13,,JARDINES DEL ALBA,54750,CUAUTITLAN IZCALLI,,58730101
89,,AV SAN ANTONIO,107,,LA CONCEPCION,54900,TULTITLAN,,58720838
90,,AV SAN ANTONIO,107,,LA CONCEPCION,54900,TULTITLAN,,58720838
91,,AV SAN ANTONIO,107,,LA CONCEPCION,54900,TULTITLAN,,58720838
92,,AV TLALNEPANTLA,27,,LA CONCEPCION,54900,TULTITLAN,,58720838
93,,TLATAYA,3A,,CENTRO URBANO,54700,CUAUTITLAN IZCALLI,,58717883
94,,CITLATEPELT,515,,VALLE DORADO,54026,TLALNEPANTLA,,PENDIENTE
95,,AV LOPEZ MATEOS,309,,JACARANDAS,54050,TLALNEPANTLA,,53610338
96,,ATENAS,137,,VALLE DORADO,54020,TLALNEPANTLA,,53708301
97,,AV LOPEZ MATEOS,323,,JACARANDAS,54050,TLALNEPANTLA,,53626008
98,,CONVENTO DE ACOLMAN,35,,SANTA MONICA,54050,TLALNEPANTLA,,53613720
99,,CONVENTO DE SANTA MONICA,128,,SANTA MONICA,54050,TLALNEPANTLA,,46256000
100,,CONVENTO DE SANTA MONICA,113,,SANTA MONICA,54050,TLALNEPANTLA,,46256000
101,,CONVENTO DE SANTA MONICA,113,,SANTA MONICA,54050,TLALNEPANTLA,,46256000
102,,ATENAS,137,,VALLE DORADO,54023,TLALNEPANTLA,,53708301
103,,TEOTIHUACAN,56,,SAN JAVIER,54030,TLALNEPANTLA,,55650621
104,,TOLTECAS,41,,SAN JAVIER,54030,TLALNEPANTLA,,PENDIENTE
105,,GUSTAVO BAZ,219,,BARRIENTOS,54010,TLALNEPANTLA,,5321223
106,,GUSTAVO BAZ,219,,BARRIENTOS,54010,TLALNEPANTLA,,5321223
107,,BLVD DE LOS CONTINENTES,76,,VALLE DORADO,54060,TLALNEPANTLA,,53790027
108,,VIVEROS DE HUMAN,28,,VIVEROS DEL VALLE,54060,TLALNEPANTLA,,53628636
109,,GUSTAVO BAZ,219,,BARRIENTOS,54010,TLALNEPANTLA,,5321223
110,,TOLTECAS,41,,SAN JAVIER,54030,TLALNEPANTLA,,55656934
111,,CONVENTO DE SANTA MONICA,113,,SANTA MONICA,54040,TLALNEPANTLA,,46256000
112,,CONVENTO DE SANTA MONICA,113,,SANTA MONICA,54040,TLALNEPANTLA,,46256000
113,,PENDIENTE,47,,PENDIENTE,52978,ATIZAPAN,,PENDIENTE
114,,VIVEROS DE HUMAN,28,,VIVEROS DEL VALLE,54060,TLALNEPANTLA,,53628636
115,,AV JUAREZ,5,,CENTRO,54000,TLALNEPANTLA,,53924376
116,,AV JUAREZ,5,,CENTRO,54000,TLALNEPANTLA,,53924376
117,,CONVENTO DE SANTA MONICA,79,,SANTA MONICA,54040,TLALNEPANTLA,,53977302
118,,CONVENTO DE SANTA MONICA,120,,SANTA MONICA,54040,TLALNEPANTLA,,53989852
119,,CONVENTO DE SANTA MONICA,69,,SANTA MONICA,54040,TLALNEPANTLA,,50919730
120,,CONVENTO DE SANTA MONICA,113,,SANTA MONICA,54040,TLALNEPANTLA,,46256000
121,,MORELOS,8,,BOSQUES DE MORELOS,54760,TLALNEPANTLA,,5510450287
122,,CONVENTO DE SANTA MONICA,113,,SANTA MONICA,54040,TLALNEPANTLA,,46256000
123,,AV DE LOS DEPORTES,168,,ARBOLEDAS,54030,ATIZAPAN,,PENDIENTE
124,,ATENAS,137,,VALLE DORADO,54023,TLALNEPANTLA,,53708301
125,,CUAHTEMOC,40,,SAN JAVIER,54030,TLALNEPANTLA,,55654803
126,,CUAHTEMOC,40,,SAN JAVIER,54030,TLALNEPANTLA,,55654803
127,,CUAHTEMOC,40,,SAN JAVIER,54030,TLALNEPANTLA,,55654803
128,,BLVD DE LOS CONTINENTES,11,,VALLE DORADO,54020,TLALNEPANTLA,,53702193
129,,BLVD DE LOS CONTINENTES,11,,VALLE DORADO,54020,TLALNEPANTLA,,53702193
