id_sitio,nombre,calle,num_exterior,num_interior,colonia,cp,delegacion,estado,telefono
188,MOCEL,GELATI,29-210,,SAN MIGUEL CHAPULTEPEC,11850,MIGUEL HIDALGO,,55169577
189,MOCEL,GELATI,29-210,,SAN MIGUEL CHAPULTEPEC,11850,MIGUEL HIDALGO,,55169900
190,CONSULTORIO,MARTIRES DE LA CONQUISTA,15-PB,,TACUBAYA,11800,MIGUEL HIDALGO,,55153536
191,MOCEL,GELATI,29-210,,SAN MIGUEL CHAPULTEPEC,11850,MIGUEL HIDALGO,,55169577
192,MOCEL,GRAL. CANO ,94-101,,SAN MIGUEL CHAPULTEPEC,11850,MIGUEL HIDALGO,,10544773
193,MOCEL,I ESTEVA,107-203 a verfif cons,,SAN MIGUELCH,11800,MIGUEL HIDALGO,,52782300
194,MOCEL,GELATI,33-205,,SAN MIGUEL CHAPULTEPEC,11800,MIGUEL HIDALGO,,
195,MOCEL,GELATI,29-209,,SAN MIGUEL CHAPULTEPEC,11850,MIGUEL HIDALGO,,52710220
196,MOCEL,GELATI,54,,SAN MIGUEL CHAPULTEPEC,11850,MIGUEL HIDALGO,,52713935
197,MOCEL,GELATI,29 ANEXO P-1 B,,SAN MIGUELCH,11800,MIGUEL HIDALGO,,52782300
198,MOCEL,GELATI,33-403,,SAN MIGUEL CHAPULTEPEC,11850,MIGUEL HIDALGO,,52710220
199,MOCEL,IGNACIO ESTEVA,107-003,,SAN MIGUEL CHAPULTEPEC,11850,MIGUEL HIDALGO,,52782603
200,ASOC ASIST PRIV OCE,TIBURCIO MONTIEL,81,,SN MIGUEL CHAP,11800,MIGUEL HIDALGO,,52737347
201,MOCEL,GELATI,29-210,,SAN MIGUEL CHAPULTEPEC,11850,MIGUEL HIDALGO,,55169577
202,MOCEL,GELATI,29-210,,SAN MIGUEL CHAPULTEPEC,11850,MIGUEL HIDALGO,,55169577
203,MOCEL,GELATI,29-1202,,SAN MIGUEL CHAPULTEPEC,11850,MIGUEL HIDALGO,,52782341
204,MOCEL,GELATI,29-210,,SAN MIGUEL CHAPULTEPEC,11850,MIGUEL HIDALGO,,55169577
205,MOCEL,I ESTEVA,107-104,,SAN MIGUELCH,11800,MIGUEL HIDALGO,,52782300
206,MOCEL,GELATI,29-403,,SAN MIGUELCH,11800,MIGUEL HIDALGO,,52782300
207,MOCEL,GELATI,29-PB,,SAN MIGUELCH,11800,MIGUEL HIDALGO,,52782300
208,MOCEL,GELATI,29- ANEXO 16,,SAN MIGUEL CHAPULTEPEC,11850,MIGUEL HIDALGO,,52710773
209,MOCEL,I ESTEVA,107-101,,SAN MIGUELCH,11800,MIGUEL HIDALGO,,52782300
210,MOCEL,I ESTEVA,107-002,,SAN MIGUELCH,11800,MIGUEL HIDALGO,,52782300
211,MOCEL,I ESTEVA,107-108,,SAN MIGUELCH,11800,MIGUEL HIDALGO,,
212,CONSULTORIO,RAFAEL REBOLLAR,81,,SAN MIGUEL CHAPULTEPEC,11850,MIGUEL HIDALGO,,
213,MOCEL,IGNACIO ESTEVA,107-106,,SAN MIGUEL CHAPULTEPEC,11850,MIGUEL HIDALGO,,52782300
214,MOCEL,GELATI,29-210,,SAN MIGUELCH,11800,MIGUEL HIDALGO,,52782300
215,MOCEL,I ESTEVA,107-001,,SAN MIGUELCH,11800,MIGUEL HIDALGO,,55169900
216,MOCEL,I ESTEVA,107-103,,SAN MIGUELCH,11800,MIGUEL HIDALGO,,52782300
217,ASOC ASIST PRIV OCE,TIBURCIO MONTIEL,81,,SN MIGUEL CHAP,11800,MIGUEL HIDALGO,,52737347
218,ABC OBSERVATORIO,SUR 132,108-602,,LAS AMERICAS,1120,ALVARO OBREGON,,5272-0651
219,ABC OBSERVATORIO,SUR 132,108-305,,LAS AMERICAS,1120,ALVARO OBREGON,,5515-3647
220,ABC OBSERVATORIO,SUR 136 ,116-415,,LAS AMERICAS,1120,ALVARO OBREGON,,52762727
221,ABC OBSERVATORIO,SUR 136,116-508,,LAS AMERICAS,1120,ALVARO OBREGON,,5230-8000
222,ABC OBSERVATORIO,SUR 132,108-408,,LAS AMERICAS,1120,ALVARO OBREGON,,5272-1309
223,ABC OBSERVATORIO,SUR 136 ,116-501,,LAS AMERICAS,1120,ALVARO OBREGON,,52723241
224,ABC OBSERVATORIO,SUR 136,116-501,,LAS AMERICAS,1120,ALVARO OBREGON,,52723241
225,ABC OBSERVATORIO,SUR 136,116-517,,LAS AMERICAS,11800,MIGUEL HIDALGO,,52308000
226,ABC OBSERVATORIO,SUR 136,116-501,,LAS AMERICAS,1120,ALVARO OBREGON,,52308000
227,ABC OBSERVATORIO,SUR 136,116-511,,LAS AMERICAS,1120,ALVARO OBREGON,,52308000
228,ABC OBSERVATORIO,SUR 136,116-501,,LAS AMERICAS,1120,ALVARO OBREGON,,52308000
229,ABC OBSERVATORIO,SUR 132,118-303,,LAS AMERICAS,1120,ALVARO OBREGON,,52718001
230,ABC OBSERVATORIO,SUR 136,116-511,,LAS AMERICAS,1120,ALVARO OBREGON,,52308000
231,ABC OBSERVATORIO,SUR 132 ,108-308,,LAS AMERICAS,1120,ALVARO OBREGON,,52308000
232,ABC OBSERVATORIO,SUR 136,116-C-ONCO 202,,LAS AMERICAS,1120,ALVARO OBREGON,,5230-8000
233,ABC OBSERVATORIO,SUR 136,116 -201,,LAS AMERICAS,1120,ALVARO OBREGON,,52308000
234,H   DIOMED,AV.OBSERVATORIO,354,,DIECISEIS SEPT,11800,MIGUEL HIDALGO,,91594000
235,ABC OBSERVATORIO,SUR 136,116-CONSUL2 EDIF.C,,LAS AMERICAS,1120,ALVARO OBREGON,,52308000
236,ABC OBSERVATORIO,SUR 136,116-PISO 3,,LAS AMERICAS,1120,ALVARO OBREGON,,5230-8000
237,ABC OBSERVATORIO,SUR 136,116 - 511,,LAS AMERICAS,1120,ALVARO OBREGON,,5271-8999
238,ABC OBSERVATORIO,SUR 136,116-511,,LAS AMERICAS,1120,ALVARO OBREGON,,52308000
239,ABC OBSERVATORIO,SUR 132,116-307,,LAS AMERICAS,1120,ALVARO OBREGON,,5271-8999
240,H   DIOMED,AV.OBSERVATORIO,354,,DIECISEIS SEPT,11800,MIGUEL HIDALGO,,91594000
241,ABC OBSERVATORIO,SUR 136,116-411,,LAS AMERICAS,1120,ALVARO OBREGON,,52308000
242,ABC OBSERVATORIO,SUR 136,116-504,,LAS AMERICAS,1120,ALVARO OBREGON,,52308000
243,ABC OBSERVATORIO,SUR 132,108- 602,,LAS AMERICAS,112,ALVARO OBREGON,,52620651
244,ABC OBSERVATORIO,SUR 136,116-515,,LAS AMERICAS,11800,ALVARO OBREGON,,52308000
245,ABC OBSERVATORIO,SUR 136,116-504,,LAS AMERICAS,1120,ALVARO OBREGON,,52308000
246,ABC OBSERVATORIO,SUR 136,116-CONSUL-504,,LAS AMERICAS,1120,ALVARO OBREGON,,5230-8000
247,ABC OBSERVATORIO,SUR 136,118-304,,LAS AMERICAS,11800,ALVARO OBREGON,,52308000
248,ABC OBSERVATORIO,SUR 132 Y OBSERV,116PISO1PFUERA,,LAS AMERICAS,11800,ALVARO OBREGON,,52308000
249,ABC STA. FÉ,AV. CARLOS GRAEF FERNANDEZ,154-CONSUL-207,,TLAXALA SANTAFE,5300,CUAJIMALPA DE MORELOS,,1664-7012
250,ABC STA. FÉ,AV. CARLOS GRAEF FERNANDEZ,154-G330,,TLAXALA SANTAFE,5300,CUAJIMALPA DE MORELOS,,1664-7201
251,ABC STA. FÉ,AV. CARLOS GRAEF FERNANDEZ,154-106,,TLAXALA SANTAFE,5300,CUAJIMALPA DE MORELOS,,5230-8246
252,ABC STA. FÉ,AV. CARLOS GRAEF FERNANDEZ,154-G339,,TLAXALA SANTAFE,5300,CUAJIMALPA DE MORELOS,,
253,ABC STA. FÉ,AV. CARLOS GRAEF FERNANDEZ,154-405,,TLAXALA SANTAFE,5300,CUAJIMALPA DE MORELOS,,
254,ABC STA. FÉ,AV. CARLOS GRAEF FERNANDEZ,154-G336,,TLAXALA SANTAFE,5300,CUAJIMALPA DE MORELOS,,1664-7249
255,ABC STA. FÉ,AV. CARLOS GRAEF FERNANDEZ,154-C-402,,TLAXALA SANTAFE,5300,CUAJIMALPA DE MORELOS,,
256,ABC STA. FÉ,AV. CARLOS GRAEF FERNANDEZ,154-G333,,TLAXALA SANTAFE,5300,CUAJIMALPA DE MORELOS,,
257,ABC STA. FÉ,AV. CARLOS GRAEF FERNANDEZ,154-408,,TLAXALA SANTAFE,5300,CUAJIMALPA DE MORELOS,,
258,ABC STA. FÉ,AV. CARLOS GRAEF FERNANDEZ,154-G336,,TLAXALA SANTAFE,5300,CUAJIMALPA DE MORELOS,,1664-7196
259,ABC STA. FÉ,AV. CARLOS GRAEF FERNANDEZ,154-406,,TLAXALA SANTAFE,5300,CUAJIMALPA DE MORELOS,,
260,ABC STA. FÉ,AV. CARLOS GRAEF FERNANDEZ,154-G339,,TLAXALA SANTAFE,5300,CUAJIMALPA DE MORELOS,,1664-7208
